datetime,Tamb_C,Tcoll_C
2019-01-01 00:00:00,3.63,18.63
2019-01-01 01:00:00,3.33,18.33
2019-01-01 02:00:00,3.02,18.02
2019-01-01 03:00:00,2.72,17.72
2019-01-01 04:00:00,2.41,17.41
2019-01-01 05:00:00,2.11,17.11
2019-01-01 06:00:00,1.8,16.8
2019-01-01 07:00:00,1.5,16.5
2019-01-01 08:00:00,1.91,16.91
2019-01-01 09:00:00,2.93,17.93
2019-01-01 10:00:00,4.22,19.22
2019-01-01 11:00:00,4.89,19.89
2019-01-01 12:00:00,5.44,20.44
2019-01-01 13:00:00,5.77,20.77
2019-01-01 14:00:00,5.73,20.73
2019-01-01 15:00:00,5.39,20.39
2019-01-01 16:00:00,4.13,19.13
2019-01-01 17:00:00,2.96,17.96
2019-01-01 18:00:00,3.38,18.38
2019-01-01 19:00:00,3.14,18.14
2019-01-01 20:00:00,2.99,17.990000000000002
2019-01-01 21:00:00,2.42,17.42
2019-01-01 22:00:00,1.12,16.12
2019-01-01 23:00:00,0.61,15.61
2019-01-02 00:00:00,0.97,15.97
2019-01-02 01:00:00,0.71,15.71
2019-01-02 02:00:00,0.41,15.41
2019-01-02 03:00:00,0.22,15.22
2019-01-02 04:00:00,0.76,15.76
2019-01-02 05:00:00,1.11,16.11
2019-01-02 06:00:00,1.35,16.35
2019-01-02 07:00:00,1.59,16.59
2019-01-02 08:00:00,2.18,17.18
2019-01-02 09:00:00,2.68,17.68
2019-01-02 10:00:00,2.47,17.47
2019-01-02 11:00:00,2.47,17.47
2019-01-02 12:00:00,2.15,17.15
2019-01-02 13:00:00,1.94,16.94
2019-01-02 14:00:00,2.0,17.0
2019-01-02 15:00:00,2.02,17.02
2019-01-02 16:00:00,2.05,17.05
2019-01-02 17:00:00,2.09,17.09
2019-01-02 18:00:00,1.9,16.9
2019-01-02 19:00:00,1.43,16.43
2019-01-02 20:00:00,1.1,16.1
2019-01-02 21:00:00,0.69,15.69
2019-01-02 22:00:00,0.68,15.68
2019-01-02 23:00:00,0.08,15.08
2019-01-03 00:00:00,0.24,15.24
2019-01-03 01:00:00,0.35,15.35
2019-01-03 02:00:00,0.21,15.21
